date,year,month,season,t2m,tmin,tmax,td2m,precip,snowfall,swe,snow_cover,snowfall_fraction,pdd,lapse_K_per_m,isotherm0_m
2000-10,2000,10,2001,15.710641693200046,3.4130330784846024,27.361864968493535,2.0803726195283616,27.108786094547643,0.030693305044205716,0.001565870138908736,0.009699828301119484,0.0011322272025444556,487.0298924892014,-0.004464421252424148,4633.034821474637
2000-11,2000,11,2001,8.801858336680027,-2.488896930895919,19.21186831589921,-1.0429603296444725,57.14238086255271,3.044444492839409,0.327414802914889,2.0765129297210185,0.05327822269363183,264.0557501004008,-0.004397494330894642,3115.573973407716
2000-12,2000,12,2001,3.6052257986071936,-7.492678668701615,12.528105322234694,-0.9600021993343262,138.90698231528657,41.849103592072424,10.862340103066995,24.245391527412952,0.3012742980556923,111.761999756823,-0.004375453195104399,1938.0340653747728
2001-01,2001,1,2001,1.7270573394831104,-14.266675311840402,12.316853964222503,-3.702127780562023,48.49737338003751,28.379302704749694,23.28672368216485,36.01331781126416,0.5851719531769773,53.53877752397642,-0.004042905704919018,1541.2453897848143
2001-02,2001,2,2001,3.0830118673007973,-6.576743720162199,15.073481965632993,-1.6699955707367735,131.67843094405694,65.64913343904186,33.69020660243649,42.857793040607,0.4985564679680352,87.09508525124753,-0.004375966405545972,1818.7159419826567
2001-03,2001,3,2001,9.917467151347637,-1.6776235742443646,22.0381590491956,3.93935052638858,124.47762049743933,2.976922714446662,22.551659142550783,14.263981569444827,0.023915324719015665,307.44148169177674,-0.004313031863880201,3413.483433942818
2001-10,2001,10,2002,17.29652617860006,4.602532888739233,30.124977085264504,2.509533750314006,21.366110105589588,0.021792647910928227,0.000749875798545788,0.004603596331118214,0.001019963287806284,536.1923115366019,-0.004397684282984519,5047.006822219985
2001-11,2001,11,2002,8.274428852896222,-8.73680056517992,23.959121239221133,-1.0484338462098322,54.069246545657776,19.726570190520587,5.081544926713604,15.519802345171572,0.36483900647409334,248.23286558688665,-0.004510948061608059,2948.2619523573285
2001-12,2001,12,2002,4.354953161055505,-7.634629748681675,12.411743071833087,0.33705914875520193,191.77685294504852,23.229292124142386,15.016726479579734,20.579110802673462,0.1211266728357383,135.00354799272066,-0.004430861441628421,2096.7259315877627
2002-01,2002,1,2002,-0.6180010657292314,-14.00854705994493,9.913496546576653,-5.2230380728345835,187.4574296038864,71.21312706837874,45.45567197636244,56.95158491413288,0.3798895953009607,0.0,-0.004484354653612519,975.6005610272989
2002-02,2002,2,2002,3.847233235133956,-7.086612629406602,13.90886941816575,-1.8786709255487608,94.82467148002685,19.12756862579146,46.75844767684272,31.424699144146153,0.20171510564969738,108.68433889253426,-0.004349058038276594,1998.8605064651715
2002-03,2002,3,2002,8.011463903532388,-4.068651136184485,19.315798892595865,1.5452426408509154,172.95623534040894,20.076505564327633,34.855352272175864,15.666410914546447,0.11607853006752525,248.35538100950401,-0.004423416140404959,2925.086757488406
2002-10,2002,10,2003,18.688186071191637,6.847651981190495,31.290102622622385,3.7254060858150524,24.603899836645542,9.08322859145842e-07,-7.27919033709973e-22,7.935712896030946e-08,3.691784087793138e-08,579.3337682069407,-0.00418417363740998,5580.068379847964
2002-11,2002,11,2003,9.527608062988293,-1.5311605610785932,20.52085109987877,0.8887428933792307,48.708348962097276,1.9131185801544162,0.08990385857268098,0.5760923157015129,0.03927701556140041,285.8282418896488,-0.003839411025109334,3595.5387282081315
2002-12,2002,12,2003,0.5886941577901439,-14.72302386829216,13.547616929980563,-3.19469793791518,232.31518554010177,98.21259464454648,35.678856065059435,49.546031163145514,0.4227558108877615,18.24951889149446,-0.0043908436128782926,1247.7666527507747
2003-01,2003,1,2003,2.028666694855758,-9.16836710046283,13.052967459212084,-2.258075532925602,107.88029012607464,34.58169096750103,69.0887936551947,52.41179298624194,0.32055615467002385,62.8886675405285,-0.004155388897078924,1602.5476722475178
2003-02,2003,2,2003,1.904674140735608,-7.891910109081834,10.663404823802352,-1.4216238354570123,241.2042211820312,126.15747136617281,99.66729573814196,54.54141830017496,0.5230317726113288,53.80704447578093,-0.004512483706532051,1536.1562422894879
