season,NAO_ONDJFM,EA_ONDJFM,WP_ONDJFM,EPNP_ONDJFM,PNA_ONDJFM,EAWR_ONDJFM,SCAND_ONDJFM,TNH_ONDJFM,POL_ONDJFM,PT_ONDJFM,AO_ONDJFM,NINO34_ONDJFM,DMI_ONDJFM,AMO_ONDJFM,NCP_ONDJFM,MOI_ONDJFM,NAO_DJF,EA_DJF,WP_DJF,EPNP_DJF,PNA_DJF,EAWR_DJF,SCAND_DJF,TNH_DJF,POL_DJF,PT_DJF,AO_DJF,NINO34_DJF,DMI_DJF,AMO_DJF,NCP_DJF,MOI_DJF,NAO_SON,EA_SON,WP_SON,EPNP_SON,PNA_SON,EAWR_SON,SCAND_SON,TNH_SON,POL_SON,PT_SON,AO_SON,NINO34_SON,DMI_SON,AMO_SON,NCP_SON,MOI_SON
2001,-0.35000000000000003,0.9766666666666666,0.19499999999999998,-0.46399999999999997,0.5383333333333333,-0.7000000000000001,0.7949999999999999,0.27,-0.6283333333333333,,-1.1478,-0.6483333333333333,-0.19216666666666668,-0.079,-0.5782161,-0.8744405,-0.26,0.9233333333333333,0.4366666666666667,-0.32,0.5666666666666667,-0.5,0.7733333333333333,0.27,-1.0,,-1.3118666666666667,-0.7766666666666667,-0.23166666666666666,-0.11266666666666665,0.1264116,-0.86254644,0.11666666666666663,0.5733333333333333,0.4766666666666666,-0.00999999999999999,-0.023333333333333355,-0.3866666666666667,1.4666666666666668,,0.00999999999999999,-0.81,-0.2899333333333333,-0.5,-0.18133333333333335,-0.015999999999999997,-0.84602314,-0.54016143
2002,0.17333333333333334,0.565,0.23666666666666666,0.12400000000000003,-0.19333333333333333,0.14333333333333334,-0.45999999999999996,-0.2833333333333334,0.18166666666666664,,0.63175,0.021666666666666667,-0.16316666666666665,0.166,0.67969495,0.29807007,-0.01999999999999998,0.7399999999999999,0.16,-0.5,-0.18333333333333332,0.19999999999999996,-0.5433333333333333,-0.2833333333333334,0.37333333333333335,,0.45413333333333333,-0.036666666666666674,-0.09699999999999999,0.16733333333333333,0.3880488,0.63730645,0.09666666666666668,-0.1466666666666667,0.83,-0.27666666666666667,0.33,-0.4033333333333333,-0.09666666666666668,,0.11666666666666668,1.28,0.27316666666666667,-0.006666666666666668,-0.30633333333333335,0.212,0.5921339,-0.061748147
2003,-0.5633333333333334,0.6616666666666667,-0.6783333333333333,1.478,0.5866666666666667,0.7583333333333333,0.4166666666666667,0.3166666666666667,0.36000000000000004,,-0.6527666666666666,0.8633333333333333,0.013666666666666674,0.028166666666666663,0.58316386,-0.28679794,-0.34,0.5466666666666667,0.19000000000000003,1.505,0.9900000000000001,0.6933333333333334,0.6666666666666666,0.3166666666666667,0.6766666666666667,,-0.6453333333333334,0.8366666666666666,-0.12666666666666668,-0.005333333333333333,0.9889662,-0.43764153,-0.9433333333333334,-0.1666666666666667,-0.9466666666666667,1.14,0.5033333333333333,0.5633333333333334,0.58,,0.2833333333333333,-0.56,-0.9854333333333333,0.98,0.26233333333333336,0.050666666666666665,0.008669217,-0.48800775
2004,-0.06166666666666665,-0.05333333333333331,0.03666666666666666,-0.076,0.19000000000000003,0.20000000000000004,0.11333333333333336,-0.35333333333333333,-0.5783333333333333,,-0.44306666666666666,0.36999999999999994,0.0036666666666666675,0.2225,-0.04664049,-0.45559564,-0.31666666666666665,-0.20666666666666667,-0.06000000000000002,0.08000000000000002,0.52,0.19666666666666668,-0.44333333333333336,-0.35333333333333333,-0.2533333333333333,,-0.9830333333333332,0.4066666666666667,0.11566666666666665,0.19533333333333333,-0.0719893,-0.1317686,0.023333333333333355,-0.05333333333333331,-0.6333333333333333,0.013333333333333341,0.05666666666666664,-0.43333333333333335,0.25333333333333335,,-0.05000000000000001,0.36,0.1464,0.37999999999999995,-0.154,0.3476666666666666,-0.11050555,-0.4939774
2005,-0.09999999999999994,-1.0033333333333332,0.155,-0.044,-0.215,-0.043333333333333335,-0.09999999999999998,0.14333333333333334,-0.155,,-0.14488333333333334,0.6983333333333333,-0.23433333333333337,0.17533333333333334,0.49368715,-0.20506953,0.5933333333333334,-1.64,-0.13000000000000003,0.22,-0.25666666666666665,-0.11,0.17,0.14333333333333334,-0.5566666666666666,,0.10523333333333336,0.69,-0.272,0.12166666666666666,0.37590942,0.023068747,0.15333333333333335,-0.6533333333333333,0.6,-1.0599999999999998,-0.3966666666666667,-0.16666666666666666,-0.20999999999999996,,-0.24,-0.29,0.3393,0.7466666666666667,-0.08766666666666667,0.21466666666666667,0.3607174,-0.032797694
2006,-0.5516666666666666,-0.5516666666666666,0.06333333333333335,-0.31000000000000005,0.06499999999999999,-0.16666666666666663,0.58,0.08,-0.2716666666666667,,-0.6294166666666666,-0.4583333333333333,-0.2791666666666667,0.12216666666666666,0.120139025,-0.48867664,-0.18333333333333335,-0.9466666666666667,0.24333333333333332,-0.25000000000000006,0.17666666666666667,-0.16666666666666666,1.0566666666666666,0.08,-0.43,,-0.8100666666666666,-0.6566666666666666,-0.247,0.11833333333333333,0.7027109,-0.36497536,-0.08333333333333336,0.5499999999999999,-0.09000000000000001,-1.0766666666666667,0.58,-0.9766666666666666,0.15666666666666665,,0.6333333333333334,-0.04,0.3533,-0.03666666666666666,-0.414,0.24566666666666667,-0.16818327,-0.16948336
2007,-0.09333333333333331,1.1233333333333333,0.15166666666666662,-0.178,-0.1366666666666667,0.3766666666666667,-0.08833333333333333,0.7466666666666667,-0.38999999999999996,,0.6138166666666666,0.6416666666666667,0.29,0.19816666666666669,0.35553482,0.11624109,-0.02666666666666669,1.3966666666666665,1.0466666666666666,-0.10499999999999993,0.46666666666666673,0.6833333333333332,-0.61,0.7466666666666667,-0.26333333333333325,,1.0028666666666666,0.68,0.18233333333333332,0.16633333333333333,0.70117193,0.30038515,-1.0066666666666666,1.3866666666666667,-0.37333333333333335,0.35333333333333333,-0.5966666666666667,0.2133333333333333,0.4066666666666667,,0.08666666666666667,0.19,0.03290000000000004,0.8033333333333333,0.5019999999999999,0.309,0.25774112,0.011259899
2008,0.3833333333333333,-0.3733333333333333,0.05166666666666667,-0.9099999999999999,-0.006666666666666672,-0.38000000000000006,-0.3416666666666666,0.6233333333333334,-0.295,,0.5047666666666667,-1.3716666666666668,-0.006999999999999997,0.10683333333333334,0.24793322,0.03578949,0.38000000000000006,0.0,0.43333333333333335,-0.825,-0.2833333333333333,-0.08,0.22666666666666668,0.6233333333333334,-0.08,,0.8593999999999999,-1.5533333333333335,-0.06133333333333333,0.06966666666666667,0.51303124,0.5845339,0.7766666666666667,-0.9733333333333333,0.52,-0.8566666666666666,0.98,-0.7799999999999999,-0.5,,-0.19000000000000003,-0.49,0.014566666666666653,-1.11,0.09333333333333332,0.124,0.45426178,-0.11350613
2009,-0.17666666666666667,-0.53,0.5783333333333334,-0.266,-0.37999999999999995,-0.9933333333333333,-0.20333333333333334,1.3133333333333332,0.20833333333333334,,0.44408333333333333,-0.5816666666666667,0.02366666666666667,-0.06383333333333334,-0.31480393,-1.094709,-0.4166666666666667,-0.3433333333333333,0.91,0.07,-1.05,-1.32,0.3233333333333333,1.3133333333333332,0.0033333333333333223,,0.2584,-0.75,0.04700000000000001,-0.08866666666666667,-0.19586606,-1.3362069,0.37999999999999995,-0.36999999999999994,-0.10333333333333332,-0.15333333333333335,1.0166666666666668,-0.9833333333333334,-0.17333333333333334,,0.5466666666666667,0.55,0.48046666666666665,-0.31666666666666665,-0.0043333333333333375,0.08033333333333333,-0.20321138,-0.5221825
2010,-1.4116666666666664,1.0383333333333333,0.11333333333333336,-0.728,0.6649999999999999,-0.23166666666666666,0.4683333333333333,-1.09,-1.1383333333333334,,-1.9630666666666665,1.2333333333333334,0.1425,0.11633333333333333,-0.5681268,-1.2413956,-2.1233333333333335,0.8533333333333334,-0.12333333333333336,-0.5449999999999999,0.49333333333333335,-0.7966666666666667,1.0433333333333332,-1.09,-1.0433333333333332,,-3.4217666666666666,1.3733333333333333,0.159,0.07933333333333333,-0.743896,-2.2137134,0.2833333333333334,1.01,-0.6,-0.6466666666666667,0.62,-0.09999999999999998,-0.24000000000000002,,-0.6933333333333334,2.32,-0.06883333333333334,0.9933333333333333,-0.061,0.07666666666666666,-0.33815178,-0.03101339
